opponent,win,lose
Mario,3,0
Donkey Kong,3,0
Link,2,0
Samus,4,0
Dark Samus,2,0
Yoshi,2,1
Kirby,5,0
Fox,3,0
Pikachu,3,0
Luigi,0,1
Ness,3,0
Captain Falcon,3,0
Jigglypuff,0,1
Peach,2,0
Daisy,0,2
Bowser,1,1
Ice Climbers,2,0
Sheik,2,1
Zelda,3,0
Dr. Mario,1,1
Pichu,0,0
Falco,1,1
Marth,2,1
Lucina,1,0
Young Link,3,0
Ganondorf,2,1
Mewtwo,1,1
Roy,1,1
Chrom,1,0
Mr. Game & Watch,2,1
Meta Knight,3,0
Pit,2,1
Dark Pit,0,1
Zero Suit Samus,2,0
Wario,2,2
Snake,2,1
Ike,1,0
Pokémon Trainer,2,1
Diddy Kong,3,0
Lucas,2,0
Sonic,1,1
King DeDeDe,1,0
Olimar,4,1
Lucario,3,0
R.O.B.,2,0
Toon Link,2,1
Wolf,2,0
Villager,1,1
Mega Man,1,2
Wii-Fit Trainer,3,0
Rosalina & Luma,2,0
Little Mac,2,0
Greninja,2,2
Palutena,4,0
Pac-Man,3,0
Robin,2,0
Shulk,1,0
Bowser JR.,2,1
Duck Hunt Duo,3,0
Ryu,1,0
Ken,2,0
Cloud,2,0
Corrin,1,0
Bayonetta,3,0
Inkling,0,1
Ridley,1,0
Simon,4,0
Richter,2,0
King K. Rool,2,0
Isabelle,3,0
Incineroar,2,1
Piranha Plant,2,1
Mii Brawler,0,0
Mii Swordfighter,0,0
Mii Gunner,0,0
