opponent,win,lose
Mario,3,1
Donkey Kong,3,0
Link,3,0
Samus,4,0
Dark Samus,3,0
Yoshi,3,1
Kirby,5,0
Fox,3,0
Pikachu,3,0
Luigi,12,4
Ness,4,0
Captain Falcon,3,0
Jigglypuff,3,1
Peach,2,0
Daisy,6,2
Bowser,3,1
Ice Climbers,3,0
Sheik,6,2
Zelda,3,1
Dr. Mario,6,2
Pichu,0,0
Falco,3,1
Marth,3,1
Lucina,3,1
Young Link,4,0
Ganondorf,4,1
Mewtwo,3,1
Roy,3,1
Chrom,2,0
Mr. Game & Watch,3,1
Meta Knight,4,0
Pit,3,1
Dark Pit,3,1
Zero Suit Samus,3,0
Wario,15,5
Snake,3,1
Ike,2,0
Pokémon Trainer,3,1
Diddy Kong,3,0
Lucas,2,0
Sonic,6,2
King DeDeDe,3,0
Olimar,4,1
Lucario,4,0
R.O.B.,3,1
Toon Link,3,1
Wolf,4,1
Villager,3,1
Mega Man,6,2
Wii-Fit Trainer,3,0
Rosalina & Luma,2,0
Little Mac,3,0
Greninja,7,2
Palutena,5,0
Pac-Man,3,1
Robin,2,0
Shulk,3,0
Bowser JR.,3,1
Duck Hunt Duo,3,0
Ryu,1,0
Ken,3,0
Cloud,3,0
Corrin,2,0
Bayonetta,5,0
Inkling,9,3
Ridley,3,0
Simon,5,0
Richter,2,0
King K. Rool,4,0
Isabelle,3,1
Incineroar,6,2
Piranha Plant,3,1
Mii Brawler,0,0
Mii Swordfighter,0,0
Mii Gunner,0,0
